checked_url,url_type,http_method_recorded,recorded_status,redirect_destination,response_error_category,elapsed_seconds,source_report,original_result,normalized_interpretation,confidence,notes
https://ambimat.com/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/for-developer/blogs/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/contactless-emv-payments-in-public-transportation/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/zoom-fatigue-how-to-make-video-calls-less-tiring/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/workplace-security-how-biometrics-is-the-key-to-the-new-normal/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/how-secure-is-5g-really/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/consumer-biometrics-in-the-data-privacy-age/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/securing-your-iiot-infrastructure/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/public-transport-ticketing-system-part-1/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/the-transformation-of-city-street-lighting/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
https://ambimat.com/non-cellular-network-based-wide-area-networks-1/,internal,"GET (allow_redirects=True, bounded body read)",200,,ok,not_recorded_per_url,raw/site_monitor/site_monitor_reports/per_site/ambimat_com/report_20260731_100005.json,status=200,reachable at crawl time (2026-07-31 ~10:00-10:15 IST),high,
